id,word,definition,forms,example,uses,img_prompt
48,debate,A formal discussion where people express different opinions about a topic.,"debated, debating",The students had a lively debate about whether school uniforms should be required.,"presidential debate, heated debate, ongoing debate","Two people standing at podiums facing each other, engaged in a formal debate with microphones and a neutral background."
49,decline,To politely refuse an invitation or offer.,"declined, declining, declination",I had to decline their invitation to the party because I was busy.,"decline an invitation, decline a request, decline in health",A person politely shaking their head 'no' while holding a formal invitation in their other hand.
50,define,To explain exactly what something means.,"definition, defined, defining",Can you define the word 'happiness'?,"define a term, define a problem, clearly defined",A dictionary open to a page with a word highlighted and its meaning explained in simple terms.
51,deliver,To take something to a person or place.,"delivery, delivered, delivering",The pizza guy will deliver our food in 30 minutes.,"deliver a package, deliver a speech, deliver on a promise",A delivery person handing a package to someone at a front door.
52,demonstrate,To show clearly how to do something or how something works.,"demonstration, demonstrated, demonstrating",The teacher will demonstrate how to solve the math problem.,"demonstrate a skill, demonstrate a product, demonstrate support",A person demonstrating how to use a new kitchen appliance at a trade show booth.
53,depend,To need someone or something in order to succeed or be healthy.,"depends, depended, depending, dependence, dependent",Plants depend on sunlight to grow.,"depend on, depend upon, heavily depend, greatly depend","A small plant reaching towards a large, bright sun."
54,mandatory,"If something is mandatory, it means it is required or compulsory. You must do it because it's the rule or the law.",mandatorily,Wearing a seatbelt in the car is mandatory.,"mandatory training, mandatory overtime, mandatory retirement",A large 'REQUIRED' sign above a school entrance with students walking inside.
55,develop,"To grow or improve something over time, or to create something new.","developed, developing, development",The baby is developing quickly.,"develop a plan, develop skills, develop a product",A seed sprouting and growing into a plant with leaves and roots.
56,devote,"To give a lot of your time, effort, or attention to something.","devoted, devoting, devotion",She decided to devote more time to her studies.,"devote time, devote energy, devote oneself","A person watering a small plant with care, symbolizing devoting attention to its growth."
57,differ,To be not like something or someone else; to be different.,"differs, differed, differing, difference, different","The twins look alike, but their personalities differ greatly.","differ from, differ on, differ widely, differ significantly","Two apples, one red and one green, side by side to highlight their difference in color."
58,direct,"Straightforward and clear, without anything blocking the way. It can also mean to tell someone exactly what to do.","directly, direction, director",The road to the beach is direct; just follow this path. / She gave me direct instructions on how to bake the cake.,"direct flight, direct sunlight, direct question, direct access, direct contact",A straight arrow pointing directly at a target in the center.
59,disagree,To have a different opinion or feeling than someone else.,"disagrees, disagreed, disagreeing, disagreement",I disagree with you about the best way to solve this problem.,"disagree strongly, disagree politely, disagree completely, disagree with","Two people facing each other, one with a thumbs up and the other with a thumbs down."
60,discover,To find something unexpectedly or while looking for something else.,"discovers, discovered, discovering, discovery",The scientist discovered a new species of plant in the rainforest.,"discover a secret, discover evidence, discover talent, discover the truth",A person using a magnifying glass to find a hidden treasure chest buried in the sand.
61,display,"To show something to people, like putting it in a place where they can see it easily.","displayed, displaying, displays",The museum displays ancient artifacts.,"display information, display products, on display",A glass display case in a museum showing an ancient vase.
62,distribute,"To give something out to several people, or to spread or supply something.","distribution, distributed, distributing",The teacher will distribute the test papers before the exam starts.,"distribute leaflets, distribute goods, distribute information",A person handing out flyers to a group of people in a park.
63,dominate,To control or have a lot of power over someone or something.,"dominated, dominating, domination",The tall basketball player can dominate the game.,"dominate the market, dominate the conversation, politically dominate","A large lion standing on a rock, looking down at a group of smaller animals."
64,doubt,A feeling of uncertainty or not being sure about something.,"doubts, doubted, doubting",I have some doubt about whether he's telling the truth.,"reasonable doubt, cast doubt, beyond a doubt, no doubt","A person standing at a crossroads, looking unsure which way to go, with question marks floating above their head."
65,edit,"To make changes to something, usually to correct mistakes or improve it.","edits, edited, editing, editor",I need to edit my essay before I submit it.,"edit a document, edit a video, edit photos, edit text","A person sitting at a computer, using software to correct typos in a document."
66,emphasize,To give special importance or attention to something.,"emphasized, emphasizing, emphasis",The speaker emphasized the importance of education.,"emphasize a point, emphasize the need, strongly emphasize","A hand pointing to a word on a whiteboard, making it stand out."
67,enable,To make something possible or to give someone the ability to do something.,"enabled, enabling, enablement",Having a good internet connection enables me to work from home.,"enable access, enable features, enable growth","A hand turning a key in a lock, symbolizing unlocking potential or access."
68,encourage,To give someone confidence or support to do something.,"encouragement, encouraging, encouraged",My parents always encourage me to follow my dreams.,"encourage someone to do something, encourage growth, encourage participation","A person patting another person on the back with a smile, giving them a thumbs up."
69,ingredient,A component or element of something. Often refers to the items needed to make a dish.,ingredients,"The recipe lists flour, sugar, and eggs as the main ingredients.","key ingredient, essential ingredient, fresh ingredients","A variety of colorful and fresh food items (vegetables, spices, herbs) arranged neatly on a wooden table, ready to be used in cooking."
70,express,"To show or make known a feeling, thought, or idea through words, actions, or art.","expression, expressive, expressed, expressing",She expressed her gratitude with a thank-you note.,"express yourself, express concern, express interest, express opinion",A person drawing a heart in the sand to express their love.
71,extend,To make something longer or bigger in space or time.,extension,We need to extend the deadline for the project.,"extend a road, extend a contract, extend your hand","A hand reaching out to extend a measuring tape, showing it increasing in length."
72,feature,A notable part or characteristic of something. It is a quality or aspect that makes something what it is.,"featured, featuring",The new phone has a great camera as its main feature.,"key feature, main feature, special feature","A smartphone displaying a camera app with a highlighted circle around a lens, emphasizing the camera as a key feature."
73,figure,"A shape or form, or a person in a picture or statue.","figures, figuring, figured",I saw a dark figure standing in the doorway.,"figure out, figure of speech, historical figure, body figure",A simple line drawing of a human silhouette.
74,focus,To give all your attention to something.,"focused, focusing",I need to focus on my studies to pass the exam.,"focus on, main focus, lose focus","A single spotlight shining brightly on a person standing on a stage, all other areas dark."
75,force,To make someone do something that they don't want to do.,"forced, forcing",My parents can't force me to marry someone I don't love.,"force someone to do something, force a smile, force your way",A strong hand pushing a smaller figure forward against their will.
76,found,To discover something or someone unexpectedly or while looking for something else.,"find, finding",I found my keys on the table this morning.,"found guilty, found dead, found wanting, be found",A person's hand reaching down and picking up a shiny golden coin from the ground.
77,function,A function is what something does or its purpose. It's also a specific job or activity.,"functions, functional, functionally",The main function of a car is to transport people.,"perform a function, serve a function, key function, function properly","A simple diagram showing a machine with labeled parts, each performing a different function, like 'input,' 'process,' and 'output.'"
78,gather,To bring things or people together into one place or group.,gathering,We will gather at the park for a picnic.,"gather information, gather evidence, gather around","A group of diverse people gathering around a picnic table in a park, smiling and talking."
79,generate,To produce or create something.,"generation, generator",The machine can generate electricity.,"generate electricity, generate ideas, generate revenue","A lightbulb suddenly illuminating above a person's head, symbolizing the generation of a new idea."
80,govern,"To control and direct the public business of a country, city, etc.","governing, governed, government, governor",The country is governed by an elected president.,"govern a country, govern effectively, well-governed","A gavel hitting a sound block in a courtroom, symbolizing the power to make decisions and control a nation."
81,grant,"To give or allow someone something, usually something they have asked for.","granted, granting",The bank granted me a loan to buy a house.,"grant permission, grant access, research grant, government grant",A large hand giving a smaller hand a check with the word 'Grant' written on it.
82,guarantee,To promise that something will happen or is true.,"guaranteed, guaranteeing",I guarantee you'll love this movie.,"money-back guarantee, guarantee of success, guarantee safety","A hand giving a thumbs-up, superimposed on a signed contract."
83,handle,The part of something that you hold to use or carry it. It's what you grip with your hand.,"handles, handled, handling","The handle of the suitcase broke, so it was hard to carry.","door handle, pot handle, handle a problem, handle with care",A close-up of a hand gripping the wooden handle of a classic teapot.
84,highlight,"To mark something (like text) in a way that makes it stand out and easy to notice, usually with a bright color.","highlights, highlighted, highlighting",I use a yellow marker to highlight important information in my textbook.,"highlight text, highlight key points, highlight a feature",A hand holding a yellow highlighter marking a word in a book.
85,hire,To give someone a job.,"hiring, hired",The company decided to hire a new marketing manager.,"hire someone, hire a car, hire an employee","A person shaking hands with another person across a desk during a job interview, symbolizing being hired."
86,identify,To recognize someone or something and say who or what they are.,"identification, identifiable, identified, identifying",I can identify my friend in the crowd because of her red hair.,"identify a problem, identify a need, identify with someone","A person pointing at a face in a crowd, clearly recognizing them."
87,illustrate,"To explain or make something clearer by using examples, pictures, or diagrams.","illustration, illustrated, illustrating",The teacher used a diagram to illustrate the parts of a plant.,"illustrate a point, illustrate a story, illustrate with examples",A teacher pointing to a colorful diagram of a human heart on a whiteboard to explain its parts to students.
88,imagine,To create a picture or idea in your mind about something.,"imagination, imaginary, imagined",I can't imagine what it would be like to live on the moon.,"imagine that, imagine doing something, hard to imagine","A person lying in a field of grass, looking up at the clouds, with thought bubbles showing fantastical creatures and landscapes."
89,implement,To start using a plan or system.,"implementation, implementing",The school decided to implement the new teaching method.,"implement a plan, implement a policy, implement changes",A group of people working together to build a bridge according to a blueprint.
90,influence,"To have an effect on someone or something. It means to change or affect how someone thinks or behaves, or how something develops.","influences, influencing, influenced, influential",Her parents' opinions greatly influenced her decision about which college to attend.,"political influence, influence on, strong influence, direct influence","A large hand gently guiding a smaller hand, representing the act of influencing someone's path."
91,inform,To give someone facts or information; to tell someone about something.,"informs, informed, informing, information, informative",Please inform me if there are any changes to the schedule.,"inform someone of/about something, inform decision-making, keep someone informed",A person whispering information into another person's ear.
92,install,To put something in place and make it ready to use.,"installation, installed, installing",I need to install the new software on my computer.,"install software, install a program, install a system",A person installing a computer program with a progress bar showing the installation process.
93,intend,To have a plan or purpose in your mind to do something.,"intends, intended, intending, intention",I intend to study abroad next year.,"intend to do, intend for, originally intended","A person pointing at a destination on a map, symbolizing a clear plan or intention."
94,interact,To communicate or work together with someone.,"interaction, interactive",The students interact with each other during group projects.,"interact with, social interaction, online interaction",Two people shaking hands and smiling at each other.
95,interpret,To explain or understand the meaning of something.,"interpretation, interpreter",The student tried to interpret the poem's hidden meaning.,"interpret data, interpret a dream, interpret a language","A person holding a magnifying glass over a complex text, trying to understand it."
96,introduce,To tell someone your name or tell one person another person's name for the first time.,"introduction, introduced, introducing","Let me introduce my friend, John, to you.","introduce yourself, introduce a topic, introduce legislation","Two people shaking hands while a third person gestures towards them, facilitating their meeting."
97,investigate,"To try to find out the truth about something, like a crime or a problem.","investigation, investigator, investigating",The police are investigating the robbery.,"investigate a crime, investigate a complaint, investigate thoroughly",A detective with a magnifying glass examining a footprint at a crime scene.
98,involve,To include someone or something in an activity or event.,"involved, involving, involvement",The project will involve a lot of teamwork.,"involve someone, involve time, closely involved","A group of people working together on a puzzle, each holding a piece."
99,issue,A problem or topic that people are talking or arguing about.,"issues, issuing, issued",Pollution is a big issue in many cities.,"major issue, important issue, address an issue, raise an issue",A newspaper headline that reads 'Water Pollution Issue'.
100,judge,"A person who decides who is right or wrong in a court of law. Also, to form an opinion about something or someone.","judges, judging, judged, judgement",The judge listened to all the evidence before making a decision. Don't judge a book by its cover.,"judge a competition, judge fairly, judge someone's character",A judge in a courtroom wearing a black robe and holding a gavel.
101,justify,To show or prove that something is right or reasonable.,"justification, justifiable",The student tried to justify why he was late to class.,"justify actions, justify decisions, justify behavior",A judge's gavel hitting a desk next to a scale balancing 'reasons' and 'actions'.
102,launch,"To start or set something in motion; to send something out, like a rocket or a new product.","launched, launching",The company will launch its new phone next month.,"launch a product, launch a rocket, launch a campaign",A space shuttle launching into the sky with bright flames and smoke.
103,lead,To guide or direct someone or something. It also means to be in front or in charge.,"leader, leading",She will lead the team to success.,"lead a team, lead the way, lead to something","A person confidently walking in front of a group, pointing forward to show the direction."
104,feasible,Possible to do easily or conveniently; likely to work.,feasibility,It's not feasible to complete such a big project in one week.,"feasible plan, feasible solution, economically feasible","A person successfully fitting a large jigsaw puzzle piece into a nearly completed puzzle, symbolizing a task being achievable."
105,locate,To find the exact place or position of something.,"location, located, locating",I need to locate my keys before I leave.,"locate a place, locate a person, hard to locate",A GPS icon pinpointing a specific building on a map.
106,maintain,To keep something in good condition by taking care of it regularly.,"maintenance, maintained, maintaining",It's important to maintain your car by getting regular check-ups.,"maintain a relationship, maintain eye contact, maintain standards",A person using tools to repair and maintain a bicycle.
107,manage,"To be in charge of something, like a project, a team, or money. It means organizing and controlling how things are done.","managed, managing, manager, management",She manages the company's social media accounts.,"manage a team, manage a project, manage money, manage time","A person sitting at a desk, organizing papers and using a computer, with charts and graphs visible in the background."
108,manufacture,"To make or produce goods in large quantities, usually in a factory.","manufacturer, manufacturing",The company manufactures cars.,"manufacture goods, manufacture products, mass manufacture",A factory assembly line producing toy cars.
109,measure,"To find the size, weight, amount, or speed of something using tools or standard units.","measurement, measurable",Please measure the length of the table with a ruler.,"measure the distance, measure the temperature, take measures",A person using a measuring tape to measure the length of a wooden plank.
110,mention,"To speak about something or someone briefly, without giving a lot of detail.","mentioned, mentioning",She didn't mention anything about moving to a new city.,"mention briefly, mention in passing, mention by name",A person pointing to a name on a list with their finger.
111,monitor,To watch something carefully for a period of time to check if there are any problems.,"monitored, monitoring",The doctor will monitor your heart rate during the exercise.,"monitor progress, monitor closely, monitor the situation","A person looking at a computer screen displaying graphs and data, representing the act of carefully observing information."
112,objective,"Based on facts, not personal feelings or opinions.","objectivity, objectively",The journalist tried to be objective when reporting the news.,"objective opinion, objective assessment, objective data","A pair of scales, perfectly balanced, with factual data on one side and an opinion bubble on the other, clearly showing the data side is heavier."
113,obtain,"To get something, usually by making an effort.","obtains, obtained, obtaining",I need to obtain permission before I can enter the building.,"obtain information, obtain a degree, obtain results",A hand reaching out to grab a diploma from a table.
114,occur,To happen or take place.,"occurred, occurring, occurrence",The accident occurred yesterday afternoon.,"occur to someone, occur frequently, occur naturally",A calendar page with a red circle around a specific date to highlight an event happening on that day.
115,operate,To control a machine or do something in a particular way.,"operation, operator, operational",You need special training to operate this machine.,"operate a machine, operate a business, operate on a patient",A person in a lab coat operating a complex machine with many buttons and screens.
116,organize,"To arrange things in a specific way or order, so that they are neat and easy to find or use.","organizes, organized, organizing, organization, organizer",I need to organize my books on the shelf.,"organize a meeting, organize your time, organize information, well-organized",A person neatly arranging colorful folders in a filing cabinet.
117,overcome,To successfully deal with a problem or difficulty.,"overcame, overcoming",She overcame her fear of heights and climbed the mountain.,"overcome a challenge, overcome obstacles, overcome difficulties, overcome fear","A person reaching the top of a mountain, symbolizing overcoming a challenge."
118,participate,To take part in an activity or event.,"participation, participant",Everyone should participate in the class discussion.,"participate in a game, participate actively, participate fully",A group of diverse people raising their hands enthusiastically in a meeting.
119,perform,"To do an action or piece of work; to entertain an audience by singing, dancing, acting, or playing music.","performance, performer",The actors will perform the play tonight. She performs her duties very well.,"perform a task, perform surgery, perform well, perform live","A singer on a brightly lit stage, holding a microphone and singing to an audience."
120,permit,To allow something to happen or to do something.,"permitted, permitting, permission",The security guard didn't permit me to enter without an ID.,"permit to do something, obtain a permit, parking permit",A person holding a 'Permit' sign allowing a car to pass through a gate.
121,persuade,To convince someone to do or believe something.,"persuasion, persuasive",She persuaded him to go to the party.,"persuade someone to do something, try to persuade, successfully persuade","A person whispering convincingly into another person's ear, who is initially frowning but then starts to smile and nod."
122,predict,To say what will happen in the future.,"prediction, predictable, predictably",The weather app predicts rain for tomorrow.,"predict the future, predict the outcome, hard to predict","A fortune teller looking into a crystal ball, with swirling clouds inside, suggesting a prediction."
123,preserve,To keep something safe or in good condition.,preservation,We need to preserve our forests for future generations.,"preserve food, preserve nature, preserve traditions","A glass jar filled with colorful pickled vegetables, sealed tightly to preserve them."
124,prevent,To stop something from happening before it occurs.,"prevention, preventable",Wearing a helmet can prevent serious head injuries in an accident.,"prevent disease, prevent crime, prevent accidents",A large hand stopping a domino effect from continuing.
125,process,A series of actions or steps taken to achieve a particular end.,"processes, processed, processing",Learning a new language is a long process.,"manufacturing process, application process, in the process of","A diagram showing a series of arrows moving through different stages, leading to a final product at the end."
126,produce,"To make or create something, often in large amounts.","product, production, producer",The factory can produce 1000 cars a week.,"produce goods, produce electricity, mass produce","A conveyor belt in a factory with identical items, such as apples or toys, moving along it."
127,progress,"To move forward or improve in skill, knowledge, or condition.","progressed, progressing",She is making good progress in learning to play the piano.,"make progress, slow progress, steady progress","A plant growing from a small seed into a tall, healthy plant with green leaves."
128,promote,To help something grow or become more popular. It can also mean to give someone a better job.,"promoter, promotion",The company uses social media to promote its new products.,"promote a product, promote health, promote peace, get promoted","A person using a megaphone to announce a sale, with a large banner behind them that says 'SALE!'"
129,propose,To suggest a plan or idea for someone to consider.,"proposal, proposed, proposing",He will propose a new solution to the problem at the meeting.,"propose a toast, propose a law, propose marriage","A man on one knee holding a ring box open, proposing to a woman in a park."
130,protect,To keep someone or something safe from harm or damage.,"protection, protector, protected",Parents protect their children from danger.,"protect someone, protect from, protect rights, protect environment","A large, strong shield with a family standing safely behind it."
131,prove,"To show that something is true by providing facts, evidence, or logical reasons.","proves, proved, proving, proof",The detective had to prove the suspect was at the scene of the crime.,"prove a point, prove a theory, prove guilt, prove innocence",A judge's gavel hitting a block with the word 'PROOF' stamped clearly on a document.
132,provide,To give someone something that they need.,"provided, providing, provides",My parents provide food and shelter for me.,"provide support, provide information, provide assistance, provide opportunity",A hand gently giving a loaf of bread to another hand.
133,publish,To prepare and distribute written material for sale or free.,"published, publishing, publisher",The author wants to publish his new book next year.,"publish a book, publish an article, publish online",A stack of newly printed books with the word 'Publish' stamped on the top one.
134,purchase,To buy something.,"purchased, purchasing, purchaser",I want to purchase a new car.,"make a purchase, purchase price, online purchase",A hand handing over money to a shop assistant in exchange for a shopping bag.
135,qualify,"To have the necessary skills, knowledge, or experience to do something.","qualification, qualified, qualifying",She needs to pass the test to qualify for the team.,"qualify for, highly qualified, fully qualified","A person successfully jumping over a hurdle with a diploma in hand, symbolizing qualifying for an achievement."
136,raise,To lift or move something to a higher position. It can also mean to increase the amount of something.,"raised, raising",Please raise your hand if you have a question.,"raise money, raise awareness, raise a family, raise prices","A hand reaching upwards, lifting a small plant towards the sun."
137,reach,To stretch out your arm in order to touch or grab something.,"reached, reaching",I had to reach for the book on the top shelf.,"reach out, reach a goal, reach an agreement",A person stretching their arm to grab an apple hanging from a tree.
138,realize,To understand or become aware of something suddenly.,"realization, realized, realizing",I didn't realize how late it was until I looked at the clock.,"realize a dream, realize the importance, suddenly realize","A person with a lightbulb suddenly appearing above their head, symbolizing a sudden understanding."
139,recognize,To know someone or something because you have seen or heard them before.,"recognizes, recognized, recognizing, recognizable",I didn't recognize you with your new haircut!,"recognize a face, recognize a voice, recognize the importance, recognize the need","A person pointing at someone in a crowd with a surprised expression, as if they suddenly remember who that person is."
140,recommend,To suggest something to someone because you think it would be good or useful for them.,"recommends, recommended, recommending, recommendation",I recommend this book to anyone who enjoys a good mystery.,"highly recommend, strongly recommend, recommend doing something, recommend a restaurant","A person pointing at a menu item in a restaurant, suggesting it to their friend."
141,reduce,"To make something smaller or less in amount, size, or number.","reduction, reducible",I need to reduce the amount of sugar I eat.,"reduce costs, reduce weight, reduce speed, reduce risk",A hand turning down the volume knob on a speaker.
